20001125,2000-11-25T00:00:00.0000000,11/25/2000,25,25th,Saturday,7,4,48,8,330,4,8,48,11,November,2,4,Fourth,2000,CY 2000,Nov-2000  ,112000,2000-11-01T00:00:00.0000000,2000-11-30T00:00:00.0000000,2000-10-01T00:00:00.0000000,2000-12-31T00:00:00.0000000,2000-01-01T00:00:00.0000000,2000-12-31T00:00:00.0000000,False,False,
20001127,2000-11-27T00:00:00.0000000,11/27/2000,27,27th,Monday,2,4,48,9,332,5,9,49,11,November,2,4,Fourth,2000,CY 2000,Nov-2000  ,112000,2000-11-01T00:00:00.0000000,2000-11-30T00:00:00.0000000,2000-10-01T00:00:00.0000000,2000-12-31T00:00:00.0000000,2000-01-01T00:00:00.0000000,2000-12-31T00:00:00.0000000,False,True,
20070909,2007-09-09T00:00:00.0000000,09/09/2007,9,9th,Sunday,1,2,36,11,252,3,11,37,9,September,3,3,Third,2007,CY 2007,Sep-2007  ,092007,2007-09-01T00:00:00.0000000,2007-09-30T00:00:00.0000000,2007-07-01T00:00:00.0000000,2007-09-30T00:00:00.0000000,2007-01-01T00:00:00.0000000,2007-12-31T00:00:00.0000000,False,False,
20090926,2009-09-26T00:00:00.0000000,09/26/2009,26,26th,Saturday,7,4,39,13,269,4,13,39,9,September,3,3,Third,2009,CY 2009,Sep-2009  ,092009,2009-09-01T00:00:00.0000000,2009-09-30T00:00:00.0000000,2009-07-01T00:00:00.0000000,2009-09-30T00:00:00.0000000,2009-01-01T00:00:00.0000000,2009-12-31T00:00:00.0000000,False,False,
20051113,2005-11-13T00:00:00.0000000,11/13/2005,13,13th,Sunday,1,2,46,7,317,3,7,47,11,November,2,4,Fourth,2005,CY 2005,Nov-2005  ,112005,2005-11-01T00:00:00.0000000,2005-11-30T00:00:00.0000000,2005-10-01T00:00:00.0000000,2005-12-31T00:00:00.0000000,2005-01-01T00:00:00.0000000,2005-12-31T00:00:00.0000000,False,False,
20070911,2007-09-11T00:00:00.0000000,09/11/2007,11,11th,Tuesday,3,2,37,11,254,3,11,37,9,September,3,3,Third,2007,CY 2007,Sep-2007  ,092007,2007-09-01T00:00:00.0000000,2007-09-30T00:00:00.0000000,2007-07-01T00:00:00.0000000,2007-09-30T00:00:00.0000000,2007-01-01T00:00:00.0000000,2007-12-31T00:00:00.0000000,False,True,
20061010,2006-10-10T00:00:00.0000000,10/10/2006,10,10th,Tuesday,3,2,41,2,283,2,2,41,10,October,1,4,Fourth,2006,CY 2006,Oct-2006  ,102006,2006-10-01T00:00:00.0000000,2006-10-31T00:00:00.0000000,2006-10-01T00:00:00.0000000,2006-12-31T00:00:00.0000000,2006-01-01T00:00:00.0000000,2006-12-31T00:00:00.0000000,False,True,
20071125,2007-11-25T00:00:00.0000000,11/25/2007,25,25th,Sunday,1,4,47,8,329,5,8,48,11,November,2,4,Fourth,2007,CY 2007,Nov-2007  ,112007,2007-11-01T00:00:00.0000000,2007-11-30T00:00:00.0000000,2007-10-01T00:00:00.0000000,2007-12-31T00:00:00.0000000,2007-01-01T00:00:00.0000000,2007-12-31T00:00:00.0000000,False,False,
20131001,2013-10-01T00:00:00.0000000,10/01/2013,1,1st,Tuesday,3,1,40,1,274,1,1,40,10,October,1,4,Fourth,2013,CY 2013,Oct-2013  ,102013,2013-10-01T00:00:00.0000000,2013-10-31T00:00:00.0000000,2013-10-01T00:00:00.0000000,2013-12-31T00:00:00.0000000,2013-01-01T00:00:00.0000000,2013-12-31T00:00:00.0000000,False,True,
20040917,2004-09-17T00:00:00.0000000,09/17/2004,17,17th,Friday,6,3,38,12,261,3,12,38,9,September,3,3,Third,2004,CY 2004,Sep-2004  ,092004,2004-09-01T00:00:00.0000000,2004-09-30T00:00:00.0000000,2004-07-01T00:00:00.0000000,2004-09-30T00:00:00.0000000,2004-01-01T00:00:00.0000000,2004-12-31T00:00:00.0000000,False,True,
