42759,11:52:39,11,52,39,42759,11:00-11:59,3,Mid Morning (9:00 AM To 11:59 AM)
31593,08:46:33,8,46,33,31593,08:00-08:59,2,AM Peak (7:00 AM To 8:59 AM)
58018,16:06:58,16,6,58,58018,16:00-16:59,6,PM Peak (16:00 PM To 17:59 PM)
66712,18:31:52,18,31,52,66712,18:00-18:59,7,Evening (18:00 PM To 23:59 PM)
75702,21:01:42,21,1,42,75702,21:00-21:59,7,Evening (18:00 PM To 23:59 PM)
18304,05:05:04,5,5,4,18304,05:00-05:59,1,Early Morning(03:00 AM To 6:59 AM)
84121,23:22:01,23,22,1,84121,23:00-23:59,7,Evening (18:00 PM To 23:59 PM)
71712,19:55:12,19,55,12,71712,19:00-19:59,7,Evening (18:00 PM To 23:59 PM)
42757,11:52:37,11,52,37,42757,11:00-11:59,3,Mid Morning (9:00 AM To 11:59 AM)
4647,01:17:27,1,17,27,4647,01:00-01:59,0,Late Night (00:00 AM To 02:59 AM)
51165,14:12:45,14,12,45,51165,14:00-14:59,5,Mid Afternoon (14:00 PM To 15:59 PM)
80840,22:27:20,22,27,20,80840,22:00-22:59,7,Evening (18:00 PM To 23:59 PM)
58012,16:06:52,16,6,52,58012,16:00-16:59,6,PM Peak (16:00 PM To 17:59 PM)
75703,21:01:43,21,1,43,75703,21:00-21:59,7,Evening (18:00 PM To 23:59 PM)
42761,11:52:41,11,52,41,42761,11:00-11:59,3,Mid Morning (9:00 AM To 11:59 AM)
51171,14:12:51,14,12,51,51171,14:00-14:59,5,Mid Afternoon (14:00 PM To 15:59 PM)
41187,11:26:27,11,26,27,41187,11:00-11:59,3,Mid Morning (9:00 AM To 11:59 AM)
36213,10:03:33,10,3,33,36213,10:00-10:59,3,Mid Morning (9:00 AM To 11:59 AM)
51170,14:12:50,14,12,50,51170,14:00-14:59,5,Mid Afternoon (14:00 PM To 15:59 PM)
41191,11:26:31,11,26,31,41191,11:00-11:59,3,Mid Morning (9:00 AM To 11:59 AM)
71710,19:55:10,19,55,10,71710,19:00-19:59,7,Evening (18:00 PM To 23:59 PM)
75698,21:01:38,21,1,38,75698,21:00-21:59,7,Evening (18:00 PM To 23:59 PM)
4649,01:17:29,1,17,29,4649,01:00-01:59,0,Late Night (00:00 AM To 02:59 AM)
18302,05:05:02,5,5,2,18302,05:00-05:59,1,Early Morning(03:00 AM To 6:59 AM)
18298,05:04:58,5,4,58,18298,05:00-05:59,1,Early Morning(03:00 AM To 6:59 AM)
66710,18:31:50,18,31,50,66710,18:00-18:59,7,Evening (18:00 PM To 23:59 PM)
75711,21:01:51,21,1,51,75711,21:00-21:59,7,Evening (18:00 PM To 23:59 PM)
75708,21:01:48,21,1,48,75708,21:00-21:59,7,Evening (18:00 PM To 23:59 PM)
58024,16:07:04,16,7,4,58024,16:00-16:59,6,PM Peak (16:00 PM To 17:59 PM)
18306,05:05:06,5,5,6,18306,05:00-05:59,1,Early Morning(03:00 AM To 6:59 AM)
78926,21:55:26,21,55,26,78926,21:00-21:59,7,Evening (18:00 PM To 23:59 PM)
1448,00:24:08,0,24,8,1448,00:00-00:59,0,Late Night (00:00 AM To 02:59 AM)
66721,18:32:01,18,32,1,66721,18:00-18:59,7,Evening (18:00 PM To 23:59 PM)
78765,21:52:45,21,52,45,78765,21:00-21:59,7,Evening (18:00 PM To 23:59 PM)
58021,16:07:01,16,7,1,58021,16:00-16:59,6,PM Peak (16:00 PM To 17:59 PM)
41199,11:26:39,11,26,39,41199,11:00-11:59,3,Mid Morning (9:00 AM To 11:59 AM)
42763,11:52:43,11,52,43,42763,11:00-11:59,3,Mid Morning (9:00 AM To 11:59 AM)
58023,16:07:03,16,7,3,58023,16:00-16:59,6,PM Peak (16:00 PM To 17:59 PM)
71720,19:55:20,19,55,20,71720,19:00-19:59,7,Evening (18:00 PM To 23:59 PM)
71718,19:55:18,19,55,18,71718,19:00-19:59,7,Evening (18:00 PM To 23:59 PM)
75464,20:57:44,20,57,44,75464,20:00-20:59,7,Evening (18:00 PM To 23:59 PM)
75707,21:01:47,21,1,47,75707,21:00-21:59,7,Evening (18:00 PM To 23:59 PM)
4653,01:17:33,1,17,33,4653,01:00-01:59,0,Late Night (00:00 AM To 02:59 AM)
60830,16:53:50,16,53,50,60830,16:00-16:59,6,PM Peak (16:00 PM To 17:59 PM)
82457,22:54:17,22,54,17,82457,22:00-22:59,7,Evening (18:00 PM To 23:59 PM)
71721,19:55:21,19,55,21,71721,19:00-19:59,7,Evening (18:00 PM To 23:59 PM)
58020,16:07:00,16,7,0,58020,16:00-16:59,6,PM Peak (16:00 PM To 17:59 PM)
38844,10:47:24,10,47,24,38844,10:00-10:59,3,Mid Morning (9:00 AM To 11:59 AM)
51174,14:12:54,14,12,54,51174,14:00-14:59,5,Mid Afternoon (14:00 PM To 15:59 PM)
82456,22:54:16,22,54,16,82456,22:00-22:59,7,Evening (18:00 PM To 23:59 PM)
80850,22:27:30,22,27,30,80850,22:00-22:59,7,Evening (18:00 PM To 23:59 PM)
51175,14:12:55,14,12,55,51175,14:00-14:59,5,Mid Afternoon (14:00 PM To 15:59 PM)
71722,19:55:22,19,55,22,71722,19:00-19:59,7,Evening (18:00 PM To 23:59 PM)
4652,01:17:32,1,17,32,4652,01:00-01:59,0,Late Night (00:00 AM To 02:59 AM)
71716,19:55:16,19,55,16,71716,19:00-19:59,7,Evening (18:00 PM To 23:59 PM)
62684,17:24:44,17,24,44,62684,17:00-17:59,6,PM Peak (16:00 PM To 17:59 PM)
62681,17:24:41,17,24,41,62681,17:00-17:59,6,PM Peak (16:00 PM To 17:59 PM)
